,Topic,Article,Claim
0,the sale of violent video games to minors ,Video game controversies,exposure to violent video games causes at least a temporary increase in aggression and that this exposure correlates with aggression in the real world
1,the sale of violent video games to minors ,Video game controversies,video game violence is not related to serious aggressive behavior in real life
2,the sale of violent video games to minors ,Video game controversies,some violent video games may actually have a prosocial effect in some contexts
3,the sale of violent video games to minors ,Video game controversies,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior
4,the sale of violent video games to minors ,Video game controversies,they increase the violent tendencies among youth
5,the sale of violent video games to minors ,Video game controversies,have shown no conclusive link between video game usage and violent activity
6,the sale of violent video games to minors ,Video game controversies,"violent video games are significantly associated with: increased aggressive behavior, thoughts, and affect; increased physiological arousal; and decreased pro-social (helping) behavior"
7,the sale of violent video games to minors ,Video game controversies,"video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder"
8,the sale of violent video games to minors ,Video game controversies,violent video games may increase mild forms of aggressive behavior in children and young adults
9,the sale of violent video games to minors ,Video game controversies,"exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior"
10,the sale of violent video games to minors ,Video game controversies,violence in video games is not causally linked with aggressive tendencies
11,the sale of violent video games to minors ,Video game controversies,no long-term relationship between playing violent video game and youth violence or bullying
12,the sale of violent video games to minors ,Video game controversies,"aggressive children tend to select more violent video games, not the inverse"
13,the sale of violent video games to minors ,Video game controversies,no evidence violent games are psychologically harmful to minors
14,the sale of violent video games to minors ,Video game controversies,adolescents that don't play video games at all are most at-risk for violent behavior
15,the sale of violent video games to minors ,Video game controversies,video game play is part of an adolescent boy's normal social setting
16,the sale of violent video games to minors ,Video game controversies,Other biological theories of aggression and violence have specifically excluded video game and other media effects
17,the sale of violent video games to minors ,Video game controversies,Reinforcement of sexist stereotypes has also been claimed as an effect of violent video games
18,the sale of violent video games to minors ,Video game controversies,a correlation between children playing violent video games and suffering psychological effects
19,the sale of violent video games to minors ,Video game controversies,violent video games can increase children's aggression
20,the sale of violent video games to minors ,Video game controversies,media influences are too weak and distant to have much influence
21,the sale of violent video games to minors ,Video game controversies,"violent video games promote violent behavior, attitudes and beliefs by desensitizing an individual to aggression"
22,the sale of violent video games to minors ,Video game controversies,Excessive exposure to violent video games and other violent media has been linked to aggressive behaviour
23,the sale of violent video games to minors ,Video game controversies,neurological link between playing violent video games and aggressive behaviour in children and teenagers
24,the sale of violent video games to minors ,Video game controversies,there was no direct link between violent video games and their influence on children
25,the sale of violent video games to minors ,Video game controversies,Video games also develop the individual's intelligence
26,the sale of violent video games to minors ,Video game controversies,violent games help students deal with stress and aggression
27,the sale of violent video games to minors ,Video game controversies,violent games affect students positively and not negatively
28,the sale of violent video games to minors ,Video game controversies,"many skills can be learned from the gaming experience, it builds practical and intellectual skills"
29,the sale of violent video games to minors ,Video game controversies,"media cannot cause violence because humans have the ability to recognize what is wrong, and what is right"
30,the sale of violent video games to minors ,Video game controversies,video games have many healthy and positive aspects
31,the sale of violent video games to minors ,Video game controversies,they can be a safe outlet for aggression and frustration
32,the sale of violent video games to minors ,Nonviolent video game,violent games cause youth violence
33,the sale of violent video games to minors ,Nonviolent video game,a high degree of relationship between violent games and youth violence
34,the sale of violent video games to minors ,Nonviolent video game,video game violence leads to youth violence
35,the sale of violent video games to minors ,Nonviolent video game,video game content was a form of freedom of expression
36,the sale of violent video games to minors ,Nonviolent video game,"there is social utility in expressive and imaginative forms of entertainment, even if they contain violence"
37,the sale of violent video games to minors ,Nonviolent video game,there are tangible benefits to violence in action games
38,the sale of violent video games to minors ,Media violence research,children may imitate aggressive behaviors witnessed in media
39,the sale of violent video games to minors ,Media violence research,"children don't automatically imitate aggression, but rather consider the context of aggression"
40,the sale of violent video games to minors ,Media violence research,societal media consumption and violent crime rates are not well associated
41,the sale of violent video games to minors ,Video game,Various games have been accused of causing addiction and even violent behavior
42,the sale of violent video games to minors ,Gender representation in video games,violent video games are influencing their children's view about violence
43,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,video games were protected speech under the First Amendment
44,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,there was a connection between video games and violence
45,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,content-based regulations are presumptively invalid
46,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,no evidence linked video games to youth violence
47,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,"there was no ""compelling"" link between violent video games and its effects on children"
48,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,content-based restrictions on games are unconstitutional
49,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,"parents, not government bureaucrats, have the right to decide what is appropriate for their children"
50,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,states should have the “right to regulate the sale of video games [that are violent] in order to protect minors
51,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,"parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent"
52,the sale of violent video games to minors ,Brown v. Entertainment Merchants Association,states do not have the right to decide that some video games are too violent for [minors
53,the sale of violent video games to minors ,Media influence,not all depictions of violence are even bad to witness
54,the sale of violent video games to minors ,Media influence,no connection between exposure to media violence and real life violence
55,the sale of violent video games to minors ,Media influence,heavy exposure to media violence can lead to more aggressive behavior
56,the sale of violent video games to minors ,Media influence,exposure alone does not cause a child to commit crimes
57,the sale of violent video games to minors ,Media influence,there is no convincing evidence that prove that media violence cause violent crime or any type of real life violence
58,the sale of violent video games to minors ,California Assembly Bills 1792 & 1793,violent video games—especially first-person shooter games—encouraged real-life acts of violence in teenagers
59,the sale of violent video games to minors ,Console game,video games allow children to act out crimes
60,the sale of violent video games to minors ,Console game,violence in video games is not causally linked with aggressive tendencies
61,the sale of violent video games to minors ,Grand Theft Childhood,correlations between violent gameplay and some common childhood problems
62,the sale of violent video games to minors ,Grand Theft Childhood,most children who play violent games do not have problems
63,the sale of violent video games to minors ,Grand Theft Childhood,"many creative, social and emotional benefits from video game play—even games with violent content"
64,the sale of violent video games to minors ,Graphic violence,exposure to graphic violence leads to desensitization to committing acts of violence in person
65,the sale of violent video games to minors ,Graphic violence,violence in games hardens children to unethical acts
66,the sale of violent video games to minors ,School violence,violent video games[REF] is related to increased aggressiveness in children
67,the sale of violent video games to minors ,Video game content rating system,numerous researchers have proposed potential positive effects of video games
68,the sale of violent video games to minors ,Video game culture,computer games cause violence
69,the sale of violent video games to minors ,Video game culture,a correlation between violent content conveyed through media (including videogames) and violent or aggressive behavior
70,the sale of violent video games to minors ,Video game culture,Some serious psychological problems have been attributed to desensitization to violence in video games
71,the sale of violent video games to minors ,Violence,media violence may increase aggression
72,the sale of violent video games to minors ,Violence,evidence for harmful effects were inconclusive
73,the one child policy of the republic of China ,One-child policy,"The policy is controversial both within and outside China because of the manner in which the policy has been implemented, and because of concerns about negative social consequences"
74,the one child policy of the republic of China ,One-child policy,possible cause behind China's gender imbalance
75,the one child policy of the republic of China ,One-child policy,"it had proved ""remarkably effective"
76,the one child policy of the republic of China ,One-child policy,great success in helping to implement China's current economic growth
77,the one child policy of the republic of China ,One-child policy,The reduction in the fertility rate and thus population growth has reduced the severity of problems that come with overpopulation
78,the one child policy of the republic of China ,One-child policy,the focus of China on population control helps provide a better health service for women
79,the one child policy of the republic of China ,One-child policy,The individual savings rate has increased since the one-child policy was introduced
80,the one child policy of the republic of China ,One-child policy,"less intrusive options, including those that emphasized delay and spacing of births, could have achieved the same results over an extended period of time"
81,the one child policy of the republic of China ,One-child policy,T]he policy itself is probably only partially responsible for the reduction in the total fertility rate
82,the one child policy of the republic of China ,One-child policy,"China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy"
83,the one child policy of the republic of China ,One-child policy,The one-child policy is challenged in principle and in practice for violating a human right to determine the size of one's own family
84,the one child policy of the republic of China ,One-child policy,leaves the older generations with increased chances of dependency on retirement funds or charity in order to receive support
