Topic,Title,article Id,Headline
This house believes that the sale of violent video games to minors should be banned,Video game content rating system,567,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Grand Theft Childhood,524,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,School violence,542,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Video game controversies,1,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Nonviolent video game,503,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Media influence,508,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Brown v. Entertainment Merchants Association,507,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,California Assembly Bills 1792 & 1793,520,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Gender representation in video games,506,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Graphic violence,525,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Console game,522,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Media violence research,504,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Video game culture,568,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Violence,570,The sale of violent video games to minors should be banned
This house believes that the sale of violent video games to minors should be banned,Video game,505,The sale of violent video games to minors should be banned
This house supports the one-child policy of the republic of China,Sex selection,533,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Voluntary Human Extinction Movement,498,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Only child,485,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Two-child policy,514,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Human rights in the People's Republic of China,518,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Family planning,495,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Demographics of China,461,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,One-child policy,21,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Overpopulation,1282,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Little Emperor Syndrome,517,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Reproductive rights,532,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Compulsory sterilization,531,The one-child policy of the republic of China is supported
This house supports the one-child policy of the republic of China,Human population control,484,The one-child policy of the republic of China is supported
This house would permit the use of performance enhancing drugs in professional sports,Substance abuse,649,The use of performance enhancing drugs in professional sports is permitted
This house would permit the use of performance enhancing drugs in professional sports,Drug Enforcement Administration,621,The use of performance enhancing drugs in professional sports is permitted
This house would permit the use of performance enhancing drugs in professional sports,Mitchell Report,602,The use of performance enhancing drugs in professional sports is permitted
This house would permit the use of performance enhancing drugs in professional sports,Anabolic steroid,616,The use of performance enhancing drugs in professional sports is permitted
This house would permit the use of performance enhancing drugs in professional sports,Ergogenic use of anabolic steroids,603,The use of performance enhancing drugs in professional sports is permitted
This house would permit the use of performance enhancing drugs in professional sports,Doping in East Germany,617,The use of performance enhancing drugs in professional sports is permitted
This house would permit the use of performance enhancing drugs in professional sports,Use of performance-enhancing drugs in sport,61,The use of performance enhancing drugs in professional sports is permitted
This house would make physical education compulsory,Recess (break),1226,Physical education would be made compulsory 
This house would make physical education compulsory,Sedentary lifestyle,1227,Physical education would be made compulsory 
This house would make physical education compulsory,Physical exercise,82,Physical education would be made compulsory 
This house would make physical education compulsory,Overweight,1224,Physical education would be made compulsory 
This house would make physical education compulsory,Exercise trends,1214,Physical education would be made compulsory 
This house would make physical education compulsory,Physical education,81,Physical education would be made compulsory 
This house would make physical education compulsory,Summerhill School,1232,Physical education would be made compulsory 
This house would make physical education compulsory,Democratic education,1211,Physical education would be made compulsory 
This house would make physical education compulsory,Active Living,1338,Physical education would be made compulsory 
This house would make physical education compulsory,Physical fitness,1225,Physical education would be made compulsory 
This house would make physical education compulsory,Childhood obesity,83,Physical education would be made compulsory 
This house would make physical education compulsory,Obesity,1223,Physical education would be made compulsory 
This house would make physical education compulsory,Health,1217,Physical education would be made compulsory 
This house believes in the use of affirmative action,Affirmative Action Around the World,1355,People should believe in Affirmative action
This house believes in the use of affirmative action,Convention on the Elimination of All Forms of Discrimination Against Women,1401,People should believe in Affirmative action
This house believes in the use of affirmative action,Convention on the Elimination of All Forms of Racial Discrimination,1336,People should believe in Affirmative action
This house believes in the use of affirmative action,Black Economic Empowerment,1357,People should believe in Affirmative action
This house believes in the use of affirmative action,Reverse discrimination,1333,People should believe in Affirmative action
This house believes in the use of affirmative action,Civil Rights Act of 1964,1345,People should believe in Affirmative action
This house believes in the use of affirmative action,Meritocracy,1261,People should believe in Affirmative action
This house believes in the use of affirmative action,Symbolic racism,1373,People should believe in Affirmative action
This house believes in the use of affirmative action,Racism in the United States,1402,People should believe in Affirmative action
This house believes in the use of affirmative action,Racism,1337,People should believe in Affirmative action
This house believes in the use of affirmative action,Color blindness (race),1400,People should believe in Affirmative action
This house believes in the use of affirmative action,Equal opportunity,1263,People should believe in Affirmative action
This house believes in the use of affirmative action,Minority group,1354,People should believe in Affirmative action
This house believes in the use of affirmative action,Affirmative action bake sale,1335,People should believe in Affirmative action
This house believes in the use of affirmative action,Reservation in India,1371,People should believe in Affirmative action
